Name,CountryCode,Population
Kimhae,KOR,256370
Kimitsu,JPN,93216
Kingston,JAM,103962
Kingston upon Hull,GBR,262000
Kingstown,VCT,17100
Kinshasa,COD,5064000
Kioto,JPN,1461974
Kirov,RUS,466200
Kiryu,JPN,118326
Kiseljovsk,RUS,110000
Kishiwada,JPN,197276
Kisumu,KEN,192733
Kitakyushu,JPN,1016264
Kitami,JPN,111295
Kitchener,CAN,189959
Kitwe,ZMB,288600
Klagenfurt,AUT,91141
Klerksdorp,ZAF,261911
Knoxville,USA,173890
Kobe,JPN,1425139
Kofu,JPN,199753
Koganei,JPN,110969
Kokubunji,JPN,106996
Kolhapur,IND,406370
Kolwezi,COD,417810
Komaki,JPN,139827
Komatsu,JPN,107937
Komsomolsk-na-Amure,RUS,291600
Konan,JPN,95521
Korba,IND,124501
Koriyama,JPN,330335
Korla,CHN,159344
Korolev,RUS,132400
Koror,PLW,12000
Koshigaya,JPN,301446
Kostjantynivka,UKR,95000
Kota,IND,537371
Kota Bharu,MYS,219582
Koudougou,BFA,105000
Kowloon and New Kowloon,HKG,1987996
KoÅ¡ice,SVK,241874
Kragujevac,YUG,147305
KrakÃ³w,POL,738150
Kramatorsk,UKR,186000
Krasnyi LutÅ¡,UKR,101000
Krefeld,DEU,241769
Ksar el Kebir,MAR,107065
Kuala Lumpur,MYS,1297526
Kuching,MYS,148059
Kueishan,TWN,112195
Kukatpalle,IND,185378
Kumasi,GHA,385192
Kumbakonam,IND,139483
Kumo,NGA,148000
Kunming,CHN,1829500
Kupang,IDN,129300
Kurashiki,JPN,425103
Kure,JPN,206504
Kurnool,IND,236800
Kusatsu,JPN,106232
Kushiro,JPN,197608
Kuwait,KWT,28859
Kuwana,JPN,106121
Kwangmyong,KOR,350914
Kyongju,KOR,272968
Kyzyl,RUS,101100
KÃ¶kshetau,KAZ,123400
KÃ¸benhavn,DNK,495699
La Ceiba,HND,89200
La Matanza,ARG,1266461
La Paz,BOL,758141
La Rioja,ARG,138117
La Romana,DOM,140204
La Serena,CHL,137409
La Spezia,ITA,95504
Lagos,NGA,1518000
Lagos de Moreno,MEX,127949
Laizhou,CHN,198664
Lakewood,USA,144126
Lalbahadur Nagar,IND,155500
LambarÃ©,PRY,99681
Lancaster,USA,118718
Langfang,CHN,148105
Lanzhou,CHN,1565800
LanÃºs,ARG,469735
Laoag,PHL,94466
Laohekou,CHN,123366
Larisa,GRC,113090
Las Palmas de Gran Canaria,ESP,354757
Lashio (Lasho),MMR,107600
Latina,ITA,114099
